IVIRSE | INFO flwr 2023-07-17 11:43:10,606 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:43:10,608 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 12:33:36,295 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 12:33:37,104 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 12:33:37,104 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 12:33:37,106 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 12:33:54,962 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 12:33:54,962 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 12:33:54,963 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 12:33:58,978 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 12:34:07,521 | server.py:232 | fit_round 1 received 0 results and 2 failures
